Chemical,LS10004,LS10006,LS10016-1,LS10023-2,LS10026-2,LS10027-3,LS10031-1,LS10036-2,LS10048-2A,LS10101-2A,LS10250-2,LS10122-10A,LS10028-2,LS10034-3,49,53,60,90,202,224,243,264,330,337,369,385,391,400,410,431,474,515,537,589,612,26,52,446,843,919,2042,2063,2094,2098,LS10009,LS10013-6,LS10014-3,LS10017-4,LS10011-3,LS10020-4,LS10010,LS10002-5,LS10008,LS10025-4
Etofenprox,10194932.99,7354569.358,12684639.04,61269597.27,2795607.929,4429158.77,5193374.077,15058113.36,6464418.953,3567106.613,7543855.096,3617000.584,991952.7237,2362419.847,1464437.504,1823192.506,5867379.074,4502811.519,3823653.295,4957515.327,4624220.163,12043942.65,3478026.69,6853868.683,643691.5762,2102872.677,7985614.514,4824345.2,273765.8505,2420132.082,8205024.742,3786955.321,5889756.653,4089940.798,7732026.465,10307849.71,4650906.514,9322162.333,8119660.655,7591659.19,7967685.881,3961679.686,5405224.746,9359639.597,349982.3468,4274075.578,1999342.632,2117866.814,2286842.152,7622371.286,10897964.62,16085363.9,8839843.834,13845988.97
Heptachlor,0.00980792,0.00967866,0.010859411,0.015290439,0.008602153,0.011018263,0.007859764,0.00962489,1183.141158,0.00727606,255.1195197,0.009096738,1676.904941,0.008099338,0.008324689,0.011224219,0.001770463,205.8731495,0.011446426,0.008600241,0.013715546,0.014387824,0.010545209,0.008179745,0.008199483,0.003866321,0.014704551,0.01722272,410.2569213,0.004973843,0.012622846,0.010872064,0.01206246,1064.258395,966.2692371,0.005807187,0.003201011,0.011403775,0.0156756,0.009184257,0.009820822,0.019211088,0.013908303,0.007357877,0.007113381,0.01413796,0.007390555,0.012242637,0.002106156,0.004303347,0.008250432,966.9647857,0.009973128,0.007400146
Heptachlor epoxide (Isomer B),0.016116871,0.006182915,0.010488497,0.009311494,0.014016393,0.006895208,0.005858291,0.007334401,0.010151989,0.014331123,0.007392804,0.002799707,0.004011451,0.004729327,0.011728051,0.008763652,0.011258249,0.010923249,0.011536452,0.011633968,0.007097876,0.01170559,0.012532957,0.007920073,0.014677263,0.010951685,0.013430265,0.001868673,0.01014074,0.007822047,0.008948856,0.009185637,0.014145243,258.8052695,0.006956929,0.017005861,0.013132175,0.010814808,0.008273101,0.013052765,0.015216159,0.008627382,0.009310892,0.0103927,915.7917816,0.012666991,0.016050802,0.008043366,403.7114656,311.737617,0.010329969,0.012294616,0.013510276,0.009864165
Hexachlorobenzene,0.009748128,9999.396444,17892.22935,16491.62746,2818.954766,8969.916323,4928.712347,5080.122707,313.5328465,14311.58574,0.007200939,2407.467001,5739.54075,0.003283288,17679.49129,9453.594,19039.52091,7200.028047,5367.418001,9962.575113,7468.794544,14623.75696,3230.721185,13345.21594,0.007334659,5617.426666,11517.8279,5785.718291,10737.5247,19835.31389,11392.18529,12894.6768,3090.046444,1260.54706,20008.97822,14783.17597,8091.708684,12086.32047,3804.2229,14505.30192,9027.000229,3687.241623,5021.587176,10934.93926,34838.15249,11556.33581,16314.80805,2074.674271,7118.863921,11622.73327,22378.69156,22387.47152,16975.91786,9512.136759
Mirex,0.010308867,0.007004357,0.001122809,0.006993533,0.015816339,0.017395353,0.009893857,0.008347694,0.013529669,0.009254301,337.3117658,0.006535616,0.008546629,0.005720439,0.011287418,0.005092368,341.3629758,0.007944957,0.002040983,0.005173296,278.9284584,0.013320711,261.8915402,0.013551302,0.014099595,0.005718604,0.012872676,0.003495329,0.00666939,0.011782672,0.010699766,350.7614397,0.014267451,0.01019075,0.014513847,0.006149749,0.007503255,690.6056675,0.011377613,558.8554456,0.005931898,0.011856835,513.9597566,0.006146558,0.011048204,310.2268399,0.007727649,0.010187589,0.009623668,0.006050598,0.008455736,0.011800306,0.007627259,0.009982262
Nonachlor__cis-,294.1448436,638.3685286,0.009945499,0.013227136,221.5318264,0.009019768,0.011150947,0.007033738,0.00891698,0.008804319,0.007805632,0.010255036,0.013836446,0.009857067,0.009563458,0.009104225,0.013126318,209.2116695,0.010179121,0.011778993,0.010596501,0.009258999,0.010764173,0.008879564,0.006105506,0.01121541,0.01106041,0.010469864,0.009643279,0.012232975,0.012762346,0.009247377,0.015050153,0.008066344,432.1827707,0.006061151,0.006418641,0.006036005,0.007795345,0.0069646,589.5060978,0.011765693,0.013085194,393.2175483,0.012297152,0.005636957,0.008313551,0.009313001,291.2891026,0.004071787,1499.517321,0.005698394,0.013048157,341.3841871
Nonachlor__trans-,859.9623087,0.011036539,341.9058291,0.008016631,0.012529313,0.013317809,0.010277225,568.9886956,917.0757986,779.395122,0.013427621,0.014726359,237.0740276,0.00750814,365.3515061,417.2679031,843.7131734,635.792259,0.008509663,357.6296882,0.016160048,0.008484189,0.013821153,0.016124701,0.012347748,0.013275237,0.008646837,0.008153008,1248.078424,457.3798064,238.1694422,487.6038428,0.006370945,0.010065875,287.623781,0.015333092,0.007803352,369.8877941,0.007932357,0.016519664,0.011769951,190.6890451,474.4231513,0.009486834,6769.014743,691.3936612,221.971815,0.008234439,0.010464461,0.010214147,0.009120834,387.9240118,832.0002019,0.010556604
OCDF,0.004919176,0.008951193,0.014349541,5199.922262,0.010800111,1396.414864,0.009807979,0.012128227,2760.538537,0.012480123,0.00654855,3422.917112,0.006324798,0.009740034,0.016157392,0.005441579,0.005455539,0.001582865,0.010603886,0.004427561,0.011022849,0.012385756,0.008190566,0.015019881,0.017158898,0.006697967,0.011010156,0.013413252,0.009283943,0.009913132,0.009588224,0.006460272,1873.294171,0.009730112,0.006475373,0.012671378,0.010964974,0.011186764,0.013658718,0.010858488,0.010497492,0.008687043,0.008183229,2634.788099,0.015895559,0.01341879,0.004658988,0.008223024,0.006790938,0.014307715,0.004328711,0.010601788,0.011910774,0.006331817
Octachlorostyrene,0.011914081,0.011666684,0.005881965,0.001069053,0.006754034,0.008589355,0.010886201,0.01484623,0.011158853,0.012640782,0.005856875,0.008937753,0.009208946,0.013219546,0.016541517,0.009991135,0.009016306,0.012140389,0.013388459,0.011943826,0.005589576,0.016006339,0.006085274,0.003316475,0.016037009,0.008746207,0.00859478,168.9562514,0.014163085,0.004094282,0.00961796,0.010941145,0.00674691,0.011107345,0.012640546,0.008899347,0.010966889,0.008711916,0.009963888,0.008360936,0.004270246,0.013893235,0.009179674,0.010477686,0.004391597,0.010516148,0.010791335,0.005442989,0.016020818,0.010553301,0.010623104,0.005260702,383.1291897,0.014233779
op_DDD,152983.053,244572.3281,366015.9368,102313.0573,10501.78271,318048.7837,616751.3319,487276.5623,57969.32589,395446.3408,605073.2088,90354.94291,249993.1185,127534.569,8553.523528,7896.02749,67355.01972,147773.1018,55050.67153,95852.10295,216342.7238,290049.0965,308743.6324,148204.7215,107370.4791,181123.9557,100748.107,122866.2699,1065.295022,91940.78378,240606.5894,235653.5902,211909.4483,137251.9952,65323.1478,31066.7764,145088.6219,397901.055,228990.2676,234786.5175,128776.131,202256.5854,246012.1884,207254.0122,54169.6763,56676.3595,24894.305,34187.99132,121448.8335,373979.5248,680268.7953,388165.7245,444098.0583,444623.3343
