mz,time,Control1,Control2,Control3,Control4,Control5,H1N1_1,H1N1_2,H1N1_3,H1N1_4,H1N1_5
776.029759,224.76,18.72918901,19.66704557,20.25601408,20.59401404,20.31116136,19.50514636,20.88917955,19.86299922,21.37286476,20.65499906
178.9745271,100.821,18.87783,18.76373148,15.48898677,18.12378474,11.10022874,17.2418367,14.56424259,18.54759079,10.79273939,17.26552325
768.5878502,219.806,23.1183684,24.488329,24.74875435,24.09602459,24.7433899,23.81538172,26.05354312,26.41125115,25.17751508,25.25935816
102.0335534,320.466,29.07387076,29.00428408,29.17732343,28.26112367,28.95800023,27.72477887,29.07387076,28.84703988,28.60038287,28.31629108
197.0002519,47.0169,20.62025708,20.79965666,19.5884191,20.99346453,20.66811234,20.65499906,20.13696709,20.26729692,20.23303219,20.3697898
196.0162408,260.49,23.41383775,23.53914464,23.07320712,22.28869576,23.09305706,22.67219509,23.032746,23.44201345,21.99782475,22.61061798
351.1921379,202.543,21.69337801,22.33172309,21.28149865,21.54574396,21.2482477,21.58969415,21.84614176,21.77904362,21.36545962,21.151241
797.5864835,218.204,21.72781152,21.37473415,21.37612517,21.28680201,22.01028978,21.88112559,22.71567467,22.95036622,22.47572839,22.3289943
590.5311382,171.121,22.70382281,22.80299343,21.74457896,20.36508252,20.74163118,21.70095381,21.81615104,20.52815442,21.20487222,21.85313102
379.1505977,203.0695,21.10533089,21.57444442,20.7947735,21.02836336,21.32040657,19.93065451,21.01730125,21.17811488,21.86789549,21.13981461
294.938047,222.083,21.46002372,20.21551494,20.15626225,22.63377518,21.34333213,23.78802444,20.39995662,19.62803807,20.31116136,21.42743682
267.1193953,115.692,22.193811,21.47928994,21.64060804,22.16078156,21.65212138,20.99852108,20.94610552,21.42558554,21.03949845,20.84736154
92.44491307,273.373,15.77013599,18.85989495,18.84646625,18.91095347,13.51281625,18.92626154,15.88984005,15.83680665,12.36965679,11.10918856
288.1796312,48.6058,21.78896381,21.46632096,20.66227064,21.50037556,21.13059052,21.10035359,20.7745247,21.18460018,21.02373045,21.07314635
771.5135575,128.151,21.97479499,24.18514758,24.05932868,23.27929345,24.00599916,23.44591217,24.23877335,24.09265589,24.18514758,23.98401544
110.5198246,158.375,25.13637031,24.4810886,24.23284732,22.41892673,24.99803417,25.28372548,24.310039,24.75334357,25.61320975,24.72609495
330.6742565,265.455,21.21695014,20.75447763,21.44317941,20.43809659,21.19613228,20.37379217,22.11803906,22.42788874,22.12678614,22.11907637
272.1847802,214.3445,20.85288635,21.09351197,20.14461693,20.7246368,19.49896677,20.78463414,19.47874939,20.01232085,19.21246473,19.43661839
284.0712145,342.855,17.97950939,18.71107513,19.4998726,20.86001426,19.79062722,19.45088301,18.14306886,18.07108784,19.06750014,19.9724887
804.5278135,215.004,21.22563453,20.68078348,22.41892673,22.35328795,22.08958157,20.20732391,21.27455982,20.41449882,21.26383176,22.0549602
185.9592896,182.7665,17.75763174,17.11233928,8.271952903,21.26253387,19.20784481,22.3790997,9.343177062,14.494214,19.29129312,22.21773166
488.3566544,43.8856,23.83011155,21.82295945,21.46975937,19.46613321,21.11621829,22.32250946,22.262033,22.49579728,19.04331434,19.8171415
197.0115085,101.913,21.03613867,20.39911411,20.40618396,19.19664529,19.55710829,19.69070614,19.16716741,20.21551494,19.8171415,19.6999366
105.9535587,119.857,19.13517219,19.29404924,19.67096854,20.4954891,19.98229307,18.8846737,19.47190669,20.03502827,20.11421418,20.5208227
161.9947449,26.22795,21.76615558,21.53846902,21.18544878,21.41496097,21.37184939,20.51469704,20.89522756,21.30048709,21.32040657,20.40263587
124.9994892,224.1365,20.71306823,20.86725859,20.96314934,20.56660443,21.19290754,21.02765502,20.76675849,21.72877282,21.35336346,21.17697513
313.6757201,309.0865,21.15296947,21.3078202,20.46493746,20.19629214,20.95581017,19.05851296,21.14356072,21.21695014,20.70136856,20.44072564
431.2484102,216.6215,22.30951334,21.96901362,22.04879907,21.26670388,21.72112183,21.21140981,21.54018119,21.62208939,21.80559745,21.44777361
149.0802995,258.08,21.25795367,21.04251706,20.5366288,21.97479499,21.93622347,22.29397309,21.70719324,21.14123853,21.32417395,22.71567467
130.1586725,253.993,23.45224989,22.48088056,22.74840077,23.46661061,22.70934932,22.01028978,22.84289869,23.08994607,22.81990971,20.14341884
545.0659479,122.049,22.26064653,20.99267177,21.93741239,12.50326332,22.26963423,22.07272326,21.58256857,20.57206169,22.08021723,22.29279941
357.1499476,33.53415,19.22291265,18.83097678,18.20743919,18.72918901,15.67473177,18.04665135,12.4218264,18.11639728,9.600517299,11.07352504
130.0859301,239.8185,23.5766544,22.91573776,23.39440153,23.47215562,23.77144323,24.26086692,23.35203579,23.06881932,23.62644837,23.9460002
